ThreadId [0] ,  OwnerProcessId [0]
ThreadId [2808] ,  OwnerProcessId [1652]

ThreadId [2848] ,  OwnerProcessId [1652]

ThreadId [2856] ,  OwnerProcessId [1652]

ThreadId [2896] ,  OwnerProcessId [1652]

ThreadId [21292] ,  OwnerProcessId [1652]

ThreadId [19052] ,  OwnerProcessId [1652]

ThreadId [15908] ,  OwnerProcessId [1652]

ThreadId [19192] ,  OwnerProcessId [1652]

ThreadId [11972] ,  OwnerProcessId [1652]

ThreadId [20232] ,  OwnerProcessId [1652]

ThreadId [21648] ,  OwnerProcessId [1652]

ThreadId [22928] ,  OwnerProcessId [1652]

ThreadId [6972] ,  OwnerProcessId [1652]

ThreadId [17272] ,  OwnerProcessId [1652]

ThreadId [20404] ,  OwnerProcessId [1652]

ThreadId [15192] ,  OwnerProcessId [1652]

ThreadId [6868] ,  OwnerProcessId [1652]

ThreadId [1776] ,  OwnerProcessId [1772]

ThreadId [1800] ,  OwnerProcessId [1772]

ThreadId [1888] ,  OwnerProcessId [1772]

ThreadId [1940] ,  OwnerProcessId [1772]

ThreadId [2240] ,  OwnerProcessId [1772]

ThreadId [824] ,  OwnerProcessId [1772]

ThreadId [8216] ,  OwnerProcessId [1772]

ThreadId [1820] ,  OwnerProcessId [1816]

ThreadId [4228] ,  OwnerProcessId [1816]

ThreadId [4240] ,  OwnerProcessId [1816]

ThreadId [22128] ,  OwnerProcessId [1816]

ThreadId [1828] ,  OwnerProcessId [1824]

ThreadId [1880] ,  OwnerProcessId [1824]

ThreadId [7712] ,  OwnerProcessId [1824]

ThreadId [1916] ,  OwnerProcessId [1912]

ThreadId [2092] ,  OwnerProcessId [1912]

ThreadId [2100] ,  OwnerProcessId [1912]

ThreadId [2104] ,  OwnerProcessId [1912]

ThreadId [2116] ,  OwnerProcessId [1912]

ThreadId [2200] ,  OwnerProcessId [1912]

ThreadId [2204] ,  OwnerProcessId [1912]

ThreadId [5588] ,  OwnerProcessId [1912]

ThreadId [12420] ,  OwnerProcessId [1912]

ThreadId [20776] ,  OwnerProcessId [1912]

ThreadId [16460] ,  OwnerProcessId [1912]

ThreadId [15000] ,  OwnerProcessId [1912]

ThreadId [14340] ,  OwnerProcessId [1912]

ThreadId [1924] ,  OwnerProcessId [1920]

ThreadId [384] ,  OwnerProcessId [1920]

ThreadId [2064] ,  OwnerProcessId [1920]

ThreadId [15188] ,  OwnerProcessId [1920]

ThreadId [12532] ,  OwnerProcessId [1920]

ThreadId [11996] ,  OwnerProcessId [1920]

ThreadId [12552] ,  OwnerProcessId [1920]

ThreadId [1936] ,  OwnerProcessId [1932]

ThreadId [12632] ,  OwnerProcessId [1932]

ThreadId [1976] ,  OwnerProcessId [1972]

ThreadId [1336] ,  OwnerProcessId [1972]

ThreadId [1292] ,  OwnerProcessId [1972]

ThreadId [1404] ,  OwnerProcessId [1972]

ThreadId [15608] ,  OwnerProcessId [1972]

ThreadId [11280] ,  OwnerProcessId [1972]

ThreadId [23148] ,  OwnerProcessId [1972]

ThreadId [1092] ,  OwnerProcessId [1112]

ThreadId [23524] ,  OwnerProcessId [1112]

ThreadId [3492] ,  OwnerProcessId [1112]

ThreadId [1280] ,  OwnerProcessId [1288]

ThreadId [2084] ,  OwnerProcessId [1288]

ThreadId [4480] ,  OwnerProcessId [1288]

ThreadId [2112] ,  OwnerProcessId [2108]

ThreadId [2384] ,  OwnerProcessId [2108]

ThreadId [2388] ,  OwnerProcessId [2108]

ThreadId [2424] ,  OwnerProcessId [2108]

ThreadId [2468] ,  OwnerProcessId [2108]

ThreadId [2656] ,  OwnerProcessId [2108]

ThreadId [4236] ,  OwnerProcessId [2108]

ThreadId [9248] ,  OwnerProcessId [2108]

ThreadId [7136] ,  OwnerProcessId [2108]

ThreadId [10120] ,  OwnerProcessId [2108]

ThreadId [9784] ,  OwnerProcessId [2108]

ThreadId [18544] ,  OwnerProcessId [2108]

ThreadId [19936] ,  OwnerProcessId [2108]
